10802,22,0,0,0,0,0,0,0
10812,22,0,0,0,0,0,0,0
10822,22,0,0,0,0,0,0,0
10833,22,0,0,0,0,0,0,0
10844,22,0,0,0,0,0,0,0
10854,21,0,0,0,0,0,0,0
10864,22,0,0,0,0,0,0,0
10874,22,0,0,0,0,0,0,0
10885,22,0,0,0,0,0,0,0
10895,22,0,0,0,0,0,0,0
10906,22,0,0,0,0,0,0,0
10916,31,0,0,0,0,0,0,0
10927,117,0,0,0,0,0,0,0
10938,192,0,0,0,0,0,0,0
10949,236,0,0,0,0,0,0,0
10960,263,0,0,0,0,0,0,0
10973,278,0,0,0,0,0,0,0
10984,24,0,0,0,0,0,0,0
10994,22,0,0,0,0,0,0,0
11004,22,0,0,0,0,0,0,0
11015,22,0,0,0,0,0,0,0
11025,21,0,0,0,0,0,0,0
11036,22,0,0,0,0,0,0,0
11046,23,0,0,0,0,0,0,0
11057,21,0,0,0,0,0,0,0
11067,22,0,0,0,0,0,0,0
11077,22,0,0,0,0,0,0,0
11087,22,0,0,0,0,0,0,0
11099,22,0,0,0,0,0,0,0
11109,22,0,0,0,0,0,0,0
11119,23,0,0,0,0,0,0,0
11129,21,0,0,0,0,0,0,0
11140,22,0,0,0,0,0,0,0
11150,21,0,0,0,0,0,0,0
11160,22,0,0,0,0,0,0,0
11171,22,0,0,0,0,0,0,0
11182,21,0,0,0,0,0,0,0
11192,22,0,0,0,0,0,0,0
11202,22,0,0,0,0,0,0,0
11212,21,0,0,0,0,0,0,0
11223,22,0,0,0,0,0,0,0
11234,22,0,0,0,0,0,0,0
11244,21,0,0,0,0,0,0,0
11254,22,0,0,0,0,0,0,0
11265,22,0,0,0,0,0,0,0
11275,22,0,0,0,0,0,0,0
11285,22,0,0,0,0,0,0,0
11295,22,0,0,0,0,0,0,0
11307,22,0,0,0,0,0,0,0
11317,22,0,0,0,0,0,0,0
11327,21,0,0,0,0,0,0,0
11337,22,0,0,0,0,0,0,0
11347,22,0,0,0,0,0,0,0
11358,22,0,0,0,0,0,0,0
11369,21,0,0,0,0,0,0,0
11379,22,0,0,0,0,0,0,0
